,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,s1148,Movie,Not a Game,Jose Gomez,Brendon Mcdonnell,United Kingdom,31-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,s1149,TV Show,Robocar Poli,,Donald Reignoux,,,,,,,, fire truck Robotruck Roy and their friends on the rescue team race to save the day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,s1150,TV Show,Yu-Gi-Oh!,,Dan Green,,,,,,,,2021,2005,TV-Y7,1 Season,Anime Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,s1151,Movie,7 Yards: The Chris Norton Story,Jonathon Link,Chris Norton,United States,30-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,s1152,Movie,Octonauts & the Ring of Fire,Blair Simmons,Simon Greenall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,s1153,TV Show,Rainbow High,,Tara Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,s1154,Movie,Mandela: Long Walk to Freedom,Justin Chadwick,Idris Elba,,,,,,,, France,29-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,s1155,Movie,Lawless,John Hillcoat,Shia LaBeouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,s1156,Movie,Marked,Nadine Ibrahim,,Nigeria,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,s1157,Movie,A Week Away,Roman White,Kevin Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,s1158,Movie,Bad Trip,,Eric André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,s1159,TV Show,Big Time Rush,,Kendall Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,s1160,Movie,Black Is Beltza,Fermín Muguruza,Unax Ugalde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,s1161,Movie,Croupier,Mike Hodges,Clive Owen,,,,,,,, he is lured into taking part in a heist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,s1162,Movie,Elizabeth and Margaret: Love and Loyalty,,,United Kingdom,26-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,s1163,Movie,Keeping the Bees,Eylem Kaftan,Meryem Uzerli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,s1164,TV Show,Magic for Humans Spain,,Antonio Díaz,Spain,26-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,s1165,Movie,Ni de coña,Fernando Ayllón,Nathalie Seseña,,,,,,,, where temptation and mishaps add problems to the mix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,s1166,Movie,Pagglait,Umesh Bist,Sanya Malhotra,,,,,,,,2021,2021,TV-PG,114 min,Comedies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,s1167,TV Show,The Irregulars,,Mckell David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,s1168,Movie,Caught by a Wave,Massimiliano Camaiti,Elvira Camarrone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,s1169,TV Show,DOTA: Dragon's Blood,,Yuri Lowenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,s1170,TV Show,Pui Pui Molcar,,,Japan,25-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,s1171,Movie,Secret Magic Control Agency,Aleksey Tsitsilin,Nicholas Corda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,s1172,Movie,Seaspiracy,Ali Tabrizi,,United States,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,s1173,Movie,Loyiso Gola: Unlearning,Kagiso Lediga,Loyiso Gola,South Africa,23-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,s1174,TV Show,Men on a Mission,Jung-ah Im,Ho-dong Kang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,s1175,TV Show,Navillera,,Park In-hwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,s1176,Movie,Philomena,Stephen Frears,Judi Dench,,,,,,,,2021,2013,PG-13,98 min,Dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,s1177,Movie,Any Crybabies Around?,Takuma Sato,Taiga Nakano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,s1178,Movie,Hospital,Brody Chu,Lin Po-Hung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,s1179,Movie,Jiu Jitsu,Dimitri Logothetis,Alain Moussi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,s1180,TV Show,Mighty Morphin Power Rangers,,Austin St. John,,,,,,,, Richard Steven Horvitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,s1181,TV Show,Alien TV,,Rob Tinkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,s1182,TV Show,Country Comfort,,Katharine McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,s1183,TV Show,Formula 1: Drive to Survive,,,United Kingdom,19-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,s1184,Movie,Reframe THEATER EXPERIENCE with you,Taketoshi Sado,Perfume,,19-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,s1185,Movie,The Yin Yang Master,Li Weiran,Chen Kun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,s1186,Movie,Who's the Boss,Chinaza Onuzo,Funke Akindele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,s1187,TV Show,B: The Beginning,,Hiroaki Hirata,,,,,,,, Mitsuki Saiga,,,,,," International TV Shows|""Genius investigator Keith Flick rejoins the royal police force just as serial killer """"B"""" emerges. Mysterious youth Koku may be an ally"," or a target.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,s1188,Movie,Deadly Illusions,Anna Elizabeth James,Kristin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,s1189,Movie,Get the Goat,Vitor Brandt,Matheus Nachtergaele,,,,,,,, Comedies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,s1190,Movie,Nate Bargatze: The Greatest Average American,Troy Miller,Nate Bargatze,United States,18-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,s1191,Movie,Skylines,Liam O'Donnell,Lindsey Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,s1192,Movie,The Fluffy Movie,Manny Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,s1193,Movie,The Present,Farah Nabulsi,Saleh Bakri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,s1194,Movie,Wave of Cinema: 90's Generation,Adriano Rudiman,PADI Reborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,s1195,Movie,Catch.er,Walter Taylaur,OC Ukeje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,s1196,Movie,Operation Varsity Blues: The College Admissions Scandal,Chris Smith,Matthew Modine,United States,17-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,s1197,TV Show,Under Suspicion: Uncovering the Wesphael Case,Alain Brunard,,Belgium,17-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,s1198,Movie,Get on Up,Tate Taylor,Chadwick Boseman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,s1199,Movie,RebellComedy: Straight Outta the Zoo,Ladislaus Kiraly,Khalid Bounouar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,s1200,Movie,Savages,Oliver Stone,Taylor Kitsch,,,,,,,, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,s1201,TV Show,Waffles + Mochi,,Michelle Zamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,s1202,TV Show,Abla Fahita: Drama Queen,,Bassem Samra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,s1203,Movie,C/O Kaadhal,Hemambar Jasti,Deepann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,s1204,Movie,The BFG,Steven Spielberg,Mark Rylance,,,,,,,, Paul Moniz de Sa,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,s1205,Movie,The Last Blockbuster,Taylor Morden,,United States,15-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,s1206,TV Show,The Lost Pirate Kingdom,,James Oliver Wheatley,,,,,,,,2021,2021,TV-MA,1 Season,Docuseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,s1207,TV Show,Zero Chill,,Grace Beedie,,,,,,,, TV Dramas,Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,s1208,Movie,Audrey,Helena Coan,Audrey Hepburn,,14-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,s1209,Movie,Çarsi Pazar,Muharrem Gülmez,Erdem Yener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,s1210,Movie,Just In Time,Dolapo Adeleke,Sarah Hassan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,s1211,TV Show,Love Alarm,,Kim So-hyun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,s1212,Movie,Mucize,Mahsun Kırmızıgül,Talat Bulut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,s1213,Movie,Paper Lives,Can Ulkay,Çağatay Ulusoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,s1214,TV Show,Paradise PD,,Tom Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,s1215,Movie,Quiet,Luis Alejandro Pérez,Max Salgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,s1216,Movie,Romantik Komedi,Ketche,Sedef Avcı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,s1217,Movie,Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi,Sinem Kobal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,s1218,TV Show,The One,,Hannah Ware,,,,,,,, Albano Jerónimo,,,,,, and creates a bold new matchmaking service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,s1219,Movie,YES DAY,Miguel Arteta,Jennifer Garner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,s1220,Movie,You're Everything To Me,Tolga Örnek,Tolga Çevik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,s1221,Movie,Coven of Sisters,Pablo Agüero,Alex Brendemühl,,,,,,,, a group of women accused of witchcraft lure their inquisitor into witnessing the witches' Sabbath.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,s1222,Movie,Generasi 90an: Melankolia,Mohammad Irfan Ramly,Ari Irham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,s1223,Movie,The Block Island Sound,Kevin McManus,,,,,,,,, a fisherman's family faces horrors and dark truths when an ominous force begins killing the wildlife and puts their own lives in danger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,s1224,TV Show,Dealer,Ange Basterga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,s1225,TV Show,Last Chance U: Basketball,,,,10-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,s1226,TV Show,Marriage or Mortgage,,,,10-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,s1227,TV Show,The Houseboat,,Olli Schulz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,s1228,TV Show,Bombay Begums,,Pooja Bhatt,,,,,,,, five ambitious women from various walks of life navigate dreams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,s1229,Movie,Bombay Rose,Gitanjali Rao,Cyli Khare,,,,,,,, the budding love between two dreamers is tested.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,s1230,TV Show,My Way,,Sherine,,,,,,,, TV Dramas,In the 1970s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,s1231,Movie,Aelay,Halitha Shameem,P. Samuthirakani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,s1232,TV Show,City of Ghosts,,August Nuñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,s1233,Movie,Dogwashers,Carlos Moreno,Christian Tappan,,,,,,,, only a secret stash of money can save his men. But guess what the gardener just found?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,s1234,Movie,Fate of Alakada,Kayode Kasum,Toyin Abraham,,,,,,,, star-studded bash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,s1235,TV Show,Nevenka: Breaking the Silence,Maribel Sánchez-Maroto,,Spain,5-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,s1236,TV Show,Pokémon Journeys: The Series,,Ikue Otani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,s1237,Movie,Sentinelle,Julien Leclercq,Olga Kurylenko,,,,,,,, International Movies,Transferred home after a traumatizing combat mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,s1238,Movie,Mariposa,Fajar Bustomi,Adhisty Zara,,,,,,,, a high-achieving student who's torn between love and family pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,s1239,TV Show,Pacific Rim: The Black,,Gideon Adlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,s1240,Movie,Parker,Taylor Hackford,Jason Statham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,s1241,Movie,Safe Haven,Lasse Hallström,Josh Duhamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,s1242,Movie,Moxie,Amy Poehler,Hadley Robinson,,,,,,,, Amy Poehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,s1243,TV Show,Murder Among the Mormons,Jared Hess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,s1244,Movie,Black or White,Mike Binder,Kevin Costner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,s1245,Movie,Indoo Ki Jawani,Abir Sengupta,Kiara Advani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,s1246,TV Show,Word Party,,Victor Yerrid,,,,,,,, and they want you to join the party and help them learn!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,s1247,TV Show,A Perfect Day For Arsenide,Sunny Lau,Wilfred Lau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,s1248,Movie,Banyuki,Hidenori Inoue,Takaya Kamikawa,,,,,,,, an innocent man seeks revenge after breaking free of the prison he was held in for ten years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,s1249,Movie,Biggie: I Got a Story to Tell,Emmett Malloy,The Notorious B.I.G.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,s1250,Movie,Blanche Gardin: The All-Nighter,Xavier Maingon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,s1251,Movie,Connected,Milton Kremer,Hernán Cattáneo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,s1252,Movie,Dances with Wolves,Kevin Costner,Kevin Costner,,,,,,,, Dramas,On the frontier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,s1253,Movie,How to Be Really Bad,Marco Petry,Emma Bading,,,,,,,, International Movies,The devil's sassy (and bored) daughter makes a deal with her dad: If she can turn a good person evil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,s1254,Movie,LEGO Marvel Spider-Man: Vexed by Venom,Andrew Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,s1255,Movie,Rain Man,Barry Levinson,Dustin Hoffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,s1256,Movie,Seven Souls in the Skull Castle 2011,Hidenori Inoue,Shun Oguri,,,,,,,, seven spirited souls take on the dark threat growing in shadowy Skull Castle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,s1257,Movie,Tenacious D in The Pick of Destiny,Liam Lynch,Jack Black,,,,,,,, Germany,1-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,s1258,TV Show,TIGER & BUNNY,,Hiroaki Hirata,,,,,,,, veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,s1259,Movie,Bigfoot Family,Jérémie Degruson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,s1260,Movie,Captain Fantastic,Matt Ross,Viggo Mortensen,,,,,,,,2021,2016,R,119 min,Comedies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,s1261,Movie,Crazy About Her,Dani de la Orden,Álvaro Cervantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,s1262,Movie,Fuga,Pablo Larraín,Benjamín Vicuña,,,,,,,, Independent Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,s1263,Movie,Ginny & Georgia - The Afterparty,,David Spade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,s1264,Movie,No Escape,John Erick Dowdle,Owen Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,s1265,Movie,Our Idiot Brother,Jesse Peretz,Paul Rudd,,,,,,,, Independent Movies,A seemingly clueless idealist relies on his exasperated sisters for shelter and support after his girlfriend dumps him and his dog is taken away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,s1266,Movie,The Girl on the Train,Ribhu Dasgupta,Parineeti Chopra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,s1267,Movie,Tony Manero,Pablo Larraín,Alfredo Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,s1268,Movie,Who Am I,Baran bo Odar,Tom Schilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,s1269,TV Show,El final del paraíso,,Carmen Villalobos,,,,,,,, Spanish-Language TV Shows,In Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,s1270,Movie,Geez & Ann,Rizki Balki,Hanggini,,,,,,,, Indra Brasco,,,,,, Romantic Movies|After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,s1271,TV Show,Sin senos sí hay paraíso,,Catherine Siachoque,,,,,,,, Stefanía Gómez,,,,,, Carolina Sepúlveda, Javier Jattin, Juan Alfonso Baptista|United States, Colombia|February 25, 2021|2018|TV-MA|3 Seasons|International TV Shows, Spanish-Language TV Shows, TV Dramas|Born into a small town controlled by the mafia, an irate young woman seeks revenge on the forces that tore apart and wrongfully imprisoned her family.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,s1272,TV Show,The Last Bastion,,Giovanni Arce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,s1273,TV Show,Age of Samurai: Battle for Japan,,Masayoshi Haneda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,s1274,Movie,Blue,,,,,,,,,, Kaede throws himself into bringing the club back to its idealistic roots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,s1275,TV Show,Canine Intervention,,Jas Leverette,United States,24-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,s1276,TV Show,Ginny & Georgia,,Brianne Howey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,s1277,Movie,M8 - When Death Rescues Life,Jeferson De,Juan Paiva,,,,,,,,2021,2019,TV-MA,84 min,Dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,s1278,TV Show,Two Sentence Horror Stories,,Nicole Kang,,,,,,,, Pepper Binkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,s1279,Movie,Brian Regan: On the Rocks,Troy Miller,Brian Regan,United States,23-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,s1280,Movie,Made You Look: A True Story About Fake Art,Barry Avrich,,Canada,23-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,s1281,Movie,Pelé,David Tryhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,s1282,Movie,Red,Tirumala Kishore,Ram Pothineni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,s1283,TV Show,Zindagi in Short,,,India,22-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,s1284,Movie,The Conjuring,James Wan,Vera Farmiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,s1285,Movie,The Conjuring 2,James Wan,Patrick Wilson,,,,,,,,2021,2016,R,134 min,Horror Movies,After her daughter unwittingly releases a malevolent spirit in their house in London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,s1286,TV Show,Vincenzo,,Song Joong-ki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,s1287,Movie,Classmates Minus,Huang Hsin-Yao,Shih Ming-shuai,,,,,,,, a temp worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,s1288,Movie,Fate: The Winx Saga - The Afterparty,,David Spade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,s1289,Movie,Operation Finale,Chris Weitz,Oscar Isaac,,,,,,,,2021,2018,PG-13,123 min,Dramas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,s1290,Movie,Wave of Cinema: Surat dari Timur,Saron Sakina,Glenn Fredly,,,,,,,, Music & Musicals,Featuring a mix of film footage and special performances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,s1291,Movie,I Care a Lot,J Blakeson,Rosamund Pike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,s1292,Movie,Love,Khalid Rahman,Shine Tom Chacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,s1293,Movie,Perú: Tesoro escondido,Luis Ara,,Uruguay,19-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,s1294,TV Show,Pitta Kathalu,Tharun Bhascker Dhaassyam,,,,,,,,, Uko,,,,,, Ashima Narwal|India|February 19, 2021|2021|TV-MA|1 Season|International TV Shows, TV Dramas|From secrets and lies to jealousy and control, four stories in this anthology film explore the darker, deceptive sides of love.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,s1295,TV Show,Tribes of Europa,,Henriette Confurius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,s1296,Movie,Eeb Allay Ooo!,Prateek Vats,Shardul Bhardwaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
